Source,Target,Weight
MESH:C531783,MESH:D008659,0.001040943789035392
MESH:C531816,MESH:D000860,0.003122831367106176
MESH:C531816,MESH:D002340,0.003122831367106176
MESH:C531816,MESH:D003324,0.003122831367106176
MESH:C531816,MESH:D005909,0.002775850104094379
MESH:C531816,MESH:D006506,0.005898681471200555
MESH:C531816,MESH:D007951,0.002775850104094379
MESH:C531816,MESH:D009369,0.003122831367106176
MESH:C531816,MESH:D014652,0.003122831367106176
MESH:C531816,MESH:D014923,0.001040943789035392
MESH:C531816,MESH:D016510,0.003122831367106176
MESH:C531816,OMIM:102700,0.0024288688410825814
MESH:C531841,MESH:D001172,0.0006939625260235947
MESH:C531841,MESH:D002908,0.001040943789035392
MESH:C531841,MESH:D004416,0.002081887578070784
MESH:C531841,MESH:D055113,0.001040943789035392
MESH:C531841,OMIM:612348,0.0013879250520471894
MESH:C535280,MESH:D009369,0.0013879250520471894
MESH:C535280,MESH:D014842,0.0017349063150589867
MESH:C535280,MESH:D016115,0.0006939625260235947
MESH:C535280,MESH:D019966,0.0017349063150589867
MESH:C535280,MESH:D020022,0.0013879250520471894
MESH:C535280,MESH:D040701,0.0017349063150589867
MESH:C535298,MESH:D009369,0.0017349063150589867
MESH:C535298,MESH:D059327,0.0017349063150589867
MESH:C535311,MESH:D001924,0.0034698126301179735
MESH:C535311,MESH:D002277,0.0034698126301179735
MESH:C535313,MESH:C536693,0.002081887578070784
MESH:C535313,MESH:C538090,0.002081887578070784
MESH:C535313,MESH:D004715,0.0017349063150589867
MESH:C535313,MESH:D006450,0.002081887578070784
MESH:C535313,MESH:D009369,0.005551700208188758
MESH:C535313,MESH:D013927,0.0017349063150589867
MESH:C535313,MESH:D016609,0.0017349063150589867
MESH:C535313,MESH:D018269,0.002081887578070784
MESH:C535314,MESH:C535847,0.0017349063150589867
MESH:C535314,MESH:D001528,0.0013879250520471894
MESH:C535314,MESH:D002294,0.0013879250520471894
MESH:C535314,MESH:D002583,0.0013879250520471894
MESH:C535314,MESH:D007239,0.0017349063150589867
MESH:C535314,MESH:D009375,0.0017349063150589867
MESH:C535314,MESH:D014376,0.0006939625260235947
MESH:C535314,MESH:D015275,0.0013879250520471894
MESH:C535314,MESH:D024182,0.0017349063150589867
MESH:C535314,OMIM:211750,0.0013879250520471894
MESH:C535318,MESH:C536356,0.001040943789035392
MESH:C535318,MESH:C537189,0.001040943789035392
MESH:C535318,MESH:D000306,0.0017349063150589867
